pass,iteration,repetition,score,duration,epochs,hiddenLayers,learnRate,neuronsPerHiddenLayer,validationSplit,activationHidden,activationInput,activationOutput,batchSize,averageAccuracy,averageLoss,averageValidationAccuracy,averageValidationLoss,slopeAccuracy,slopeLoss,slopeValidationAccuracy,slopeValidationLoss,deltaCorrect,deltaIncorrect,totalCorrect,totalCases
0,0,0,0.656,37025,5,1,0.001,15,0.25,relu,relu,softmax,5,0.6294736862182617,0.9200431903203329,0.608701745669047,0.9472314318021139,0.010315805673599243,-0.03315809369087219,0.01221051812171936,-0.03089204430580139,83.35437262058258,88.80766163766384,328,500
1,1,0,0.652,17826,5,1,0.001,15,0.25,relu,relu,softmax,10,0.6163274844487509,0.9658017555872599,0.595087726910909,0.9922987421353658,0.006666660308837891,-0.02974945306777954,0.0033684074878692627,-0.019709885120391846,90.5942690372467,87.14207503199577,326,500
